company_name,email,website,instagram,twitter
Dr. W. Glenn Lewis - Masterpiece Smiles Orthodontics,nan,https://www.google.com/aclk?sa=L&ai=DChsSEwiTi-u_gpySAxVzpGYCHcnvMaAYACICCAEQBBoCc20&co=1&ase=2&gclid=CjwKCAiA7LzLBhAgEiwAjMWzCHGDNA1tKiNnLrjPed30DnBobQ8UrXcMbOV8zzeHPj-4OKMajYZ_MBoCkFEQAvD_BwE&cid=CAASZuRoXN9IKNWmFrUL_l3yJD090_JGex0IrvsG0hy74lzsveaSiojMNZueHK19MRtgisP0BHq87cGJ9oj3YACl-PXN1AB3Zxown7Bs_5Ag0Y3HPlMfb6nfcWtxFAMgsCZ5yLwpL2iToA&cce=2&category=acrcp_v1_32&sig=AOD64_1f8ZJtPPB3s3hNGuW2i5jdRr_2mw&adurl&q&ctype=99&nis=6,,
North Atlanta Family Dentistry,nan,https://smilegeorgia.com/,https://www.instagram.com/teamsmilega/,
Johns Creek Family Dentistry - Dental Care in Duluth and Johns Creek,nan,http://toothcare.net/,,https://x.com/JohnsCreekDDS/
Family Dentistry and Orthodontics: Dr. Ami Desai,contact@familydentistryjohnscreek.com,https://familydentistryjohnscreek.com/,,
Town Dentistry Johns Creek,nan,https://www.towndentistry.com/johns-creek-dental/,,
Johns Creek Dental Associates,admin@dentistinjohnscreek.com,https://dentistinjohnscreek.com/,https://www.instagram.com/jcdentalassociates/,
DentFirst Dental Care,info@dentfirst.com; llomeli@dentfirst.com,http://www.dentfirst.com/locations/johns-creek/,https://www.instagram.com/dentfirst/,https://x.com/DentFirst/
Smile Atlanta Center,nan,https://www.smileatlanta.com/,https://www.instagram.com/smileatlantacenter/,
Big Creek Family Dentistry,nan,https://www.bigcreekfamilydentistry.com/,,https://x.com/BigCreekFamDent/
Shelnutt Family Dentistry,info@shelnuttfamilydentistry.com,http://www.shelnuttfamilydentistry.com/,,
Smiles of Johns Creek,info@smilesofjohnscreek.com,http://smilesofjohnscreek.com/,,
Johns Creek Dental Care,abowns@johnscreekdental.com; ansleigh@johnscreekdental.com,http://www.johnscreekdental.com/,,
Hall Family Dental Care,nan,http://myalpharettagadentist.com/,,
"Hello Family Dental - Dr. Mitul Patel, DDS",nan,https://hellofamilydental.com/,,
"Johns Creek Dentistry - Dr. Daniel Choi, DDS",nan,https://www.johnscreekteeth.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,,
Grady Dental Care,admin@gradydentalcare.com; manager@gradydentalcare.com,http://www.gradydentalcare.com/,https://www.instagram.com/grady_dental_care/,
Dental Team of Johns Creek,nan,https://www.dentalteamofjohnscreek.com/,,
Family Dentistry of Forsyth,nan,https://familydentistryofforsyth.com/,,
Johns Creek Dental Town,nan,https://dentaltownsmiles.com/,,
Dentistry at Ivy Falls,nan,https://dentistryativyfalls.com/,https://www.instagram.com/dentistryativyfalls/,
Johns Creek Dental Excellence,nan,http://johnscreekdentalexcellence.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://www.instagram.com/jcdentalexcellence/,
Dr. W. Glenn Lewis - Masterpiece Smiles Orthodontics,nan,https://www.google.com/aclk?sa=L&ai=DChsSEwjqwcjDgpySAxX1EoMDHddJF7kYACICCAEQBRoCc2Y&co=1&ase=2&gclid=CjwKCAiA7LzLBhAgEiwAjMWzCJpmQXU9W5HUkqrnKAtzRWZXleR8FN8_yMkbNUOlGoRKNEMBAl1HxRoCO-AQAvD_BwE&cid=CAASZuRoCxyJVekawLhpE2prKb9U2lQ2xFitt1qwMvbWVoDlV6nog1lufvIuQgAaSAAeHWHToERxvEa8e7pNokBSsOJ4aMWlv-wPmQ6CcOuiApC4CQ-O0mqHpN7kuU9VDsajPn1hh68MsA&cce=2&category=acrcp_v1_32&sig=AOD64_01JbmJm_jVD8C9nzKroE0oZgagLQ&adurl&q&ctype=99&nis=6,,
Children's Dental Zone,nan,https://www.google.com/aclk?sa=L&ai=DChsSEwjqwcjDgpySAxX1EoMDHddJF7kYACICCAEQBxoCc2Y&co=1&ase=2&gclid=CjwKCAiA7LzLBhAgEiwAjMWzCLXE33GL_qXVVZIWWjECXBTwGBnt7PHB18n6UU2VP1WC4t_s0wTQUhoCAVIQAvD_BwE&cid=CAASZuRoCxyJVekawLhpE2prKb9U2lQ2xFitt1qwMvbWVoDlV6nog1lufvIuQgAaSAAeHWHToERxvEa8e7pNokBSsOJ4aMWlv-wPmQ6CcOuiApC4CQ-O0mqHpN7kuU9VDsajPn1hh68MsA&cce=2&category=acrcp_v1_32&sig=AOD64_3jQunRgfAU7xmO-ugp3c9KsbnQUw&adurl&q&ctype=99&nis=6,,
Ideal Dental Johns Creek,nan,https://www.myidealdental.com/johns-creek/?utm_source=organic&utm_medium=soci&utm_campaign=websiteurl,https://www.instagram.com/myidealdental/,
Johns Creek Dental Studio,nan,https://www.johnscreekdentalstudio.com/,https://www.instagram.com/jcdentalstudio/,
"Shawn A. Walls, D.D.S.",nan,https://www.dentistjohnscreek.com/,,
"Smile Makers of Georgia, Family Dental Care",nan,http://smilemakersofgeorgia.com/,,
Advance Dental Center,nan,http://www.advancedentalcenter.com/,,
Orchard Family Dental of Suwanee,nan,https://familydentistsuwanee.com/,,
Supreme Dental Group,nan,https://supremedentalga.com/,,
Jones Bridge Dental Care,nan,http://jbdentalcare.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://www.instagram.com/jonesbridgedentalcare/,
Pediatric Dentistry of Johns Creek,info@pdjohnscreek.com,https://www.pdjohnscreek.com/,,
Advanced Cosmetic and Family Dentistry,nan,https://www.acfdga.com/,,
Lifetime Smiles: Dr. Jim Forester,nan,https://www.lifetimesmiles.com/,,
Exceptional Dentistry at Johns Creek,nan,https://www.judsontconnelldmd.com/,,https://x.com/drjudsont_dmd/
Smile Again Family & Cosmetic Dentistry,nan,http://www.smileagaindentalga.com/,,
Brighter Smiles Dentistry,nan,https://www.brsmilesdmd.com/,,
Lail Family Dentistry,nan,https://drlail.com/,https://www.instagram.com/lail_family_dentistry/,
Muccioli Dental,nan,https://www.mdentalsmiles.com/,https://www.instagram.com/mucciolidental/,https://x.com/MuccioliDental/
Parsons Pointe Dental Care,nan,https://parsonspointedentalcare.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,,
Polkadot Pediatric Dentistry,info@polkadotdental.com,https://polkadotdental.com/?utm_source=GBL&utm_medium=organic,,https://x.com/polkadotdental/
Peace Family Dentistry,nan,https://peacefamilydentistry.com/,,
Haynes Bridge Dental Care,nan,http://haynesbridgedentalcare.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,,
Center for Advanced Dentistry,nan,https://centerforadvanceddental.com/,,
Pai Dental,nan,http://www.paidental.com/,,https://x.com/PaiDental/
Family Orthodontics - Johns Creek,nan,https://www.familyorthodontics.com/locations/johns-creek/?utm_source=listings&utm_medium=organic&utm_campaign=gmb,https://www.instagram.com/familybraces/,
