place_id,business_name,rating,reviews,category,address,whatsapp_number,website,email
https://www.google.com/maps/place/E-commerce+Experts+UK/data=!4m7!3m6!1s0x47debbd2d7892131:0x7518edab6bc63a25!8m2!3d51.1270562!4d1.3116989!16s%2Fg%2F11vk7p89y0!19sChIJMSGJ19K73kcRJTrGa6vtGHU?authuser=0&hl=en&rclk=1,E-commerce Experts UK,5.0,(1),E commerce agency,"Kent, 70 Pencester Rd",+44 7425 760470,https://ecommerceexpertsuk.com/,
https://www.google.com/maps/place/eCommerce+Fulfilment+UK+%7C+Cloud9+Fulfilment/data=!4m7!3m6!1s0x4879794fddec7309:0xa68f80a4d707c7d1!8m2!3d53.3847355!4d-1.4252425!16s%2Fg%2F11qqktpctf!19sChIJCXPs3U95eUgR0ccH16SAj6Y?authuser=0&hl=en&rclk=1,eCommerce Fulfilment UK | Cloud9 Fulfilment,5.0,(21),E-commerce service,·,+44 114 551 1888,https://www.cloud9fulfilment.co.uk/,
https://www.google.com/maps/place/4fm+UK+Online+Discount+Store/data=!4m7!3m6!1s0x48761d3b3a769941:0xc28f11aa55f2ffc4!8m2!3d51.5272357!4d-0.0886604!16s%2Fg%2F11jz5zsbsr!19sChIJQZl2OjsddkgRxP_yVaoRj8I?authuser=0&hl=en&rclk=1,4fm UK Online Discount Store,5.0,(2),E-commerce service,128 City Rd,+44 141 459 0015,,
https://www.google.com/maps/place/E+Shopping+Store/data=!4m7!3m6!1s0x48761b5eedefaceb:0x1c447d32c63d1695!8m2!3d51.5284877!4d-0.1159018!16s%2Fg%2F11kk061lj1!19sChIJ66zv7V4bdkgRlRY9xjJ9RBw?authuser=0&hl=en&rclk=1,E Shopping Store,5.0,(1),E-commerce service,2 Frederick St,+44 7915 627842,,
https://www.google.com/maps/place/Live+Shopping+UK/data=!4m7!3m6!1s0x4875d54943628781:0xd6423d926ce18e77!8m2!3d51.3394271!4d-0.7472431!16s%2Fg%2F11zk49wnks!19sChIJgYdiQ0nVdUgRd47hbJI9QtY?authuser=0&hl=en&rclk=1,Live Shopping UK,5.0,(1),E-commerce service,155A London Rd,+44 7946 211774,https://liveshoppinguk.co.uk/,info@liveshoppinguk.co.uk
https://www.google.com/maps/place/UK+X+ecommerce/data=!4m7!3m6!1s0x48761dff16bdd8e7:0x70686b15892f50f!8m2!3d51.5426975!4d-0.0095059!16s%2Fg%2F11vz0_m0v0!19sChIJ59i9Fv8ddkgRD_WSWLGGBgc?authuser=0&hl=en&rclk=1,UK X ecommerce,5.0,(1),Tea store,Westfield Ave,,,
https://www.google.com/maps/place/Shopline+UK+%7C+Best+Ecommerce+Platform+Provider/data=!4m7!3m6!1s0x487603a456faa60b:0x8f325162e11bc071!8m2!3d51.5115657!4d-0.0933222!16s%2Fg%2F11svv76njw!19sChIJC6b6VqQDdkgRccAb4WJRMo8?authuser=0&hl=en&rclk=1,Shopline UK | Best Ecommerce Platform Provider,5.0,(1),E-commerce service,33 Queen St,+44 20 3405 0194,https://uk.shopline.com/,
https://www.google.com/maps/place/Commerce+-+London/data=!4m7!3m6!1s0x48760383983320f5:0xd2d84980943dfa44!8m2!3d51.5167452!4d-0.0862631!16s%2Fg%2F11g4lq0qn0!19sChIJ9SAzmIMDdkgRRPo9lIBJ2NI?authuser=0&hl=en&rclk=1,Commerce - London,4.0,(4),E-commerce service,·,+44 808 189 3323,http://www.commerce.com/,
https://www.google.com/maps/place/E-commerce+Direct/data=!4m7!3m6!1s0x487471345da4ad5b:0x3b191695d29e4213!8m2!3d51.5273851!4d-0.0891169!16s%2Fg%2F11ggvtcv8c!19sChIJW62kXTRxdEgRE0Ke0pUWGTs?authuser=0&hl=en&rclk=1,E-commerce Direct,5.0,(2),E-commerce service,"Kemp House, 156 City Rd",+44 20 8004 7769,https://www.e-commercedirect.com/,
https://www.google.com/maps/place/W+%26+Co.+Ltd+******Trading+as+Online+London+Store*******/data=!4m7!3m6!1s0x48760d1fc0e758a3:0xd88906110a145a7a!8m2!3d51.5052087!4d-0.3350517!16s%2Fg%2F11k_z5lhf_!19sChIJo1jnwB8NdkgReloUChEGidg?authuser=0&hl=en&rclk=1,W & Co. Ltd ******Trading as Online London Store*******,5.0,(1),E-commerce service,145 - 147 Boston Rd,+44 7557 335888,http://www.wandco.uk/,
