place_id,business_name,rating,reviews,category,doJOZc,address,W4Efsd (4),W4Efsd (5),W4Efsd (6),W4Efsd (7),whatsapp_number,Cw1rxd,R8c4Qb,ah5Ghc,M4A5Cf,ah5Ghc (2),website,Cw1rxd (2),R8c4Qb (2),Jn12ke src,ah5Ghc (3),e4rVHe,email
https://www.google.com/maps/place/Chelinaa+Capital+Corporation+%28Pvt%29+Ltd./data=!4m7!3m6!1s0x3ae25bd11e20c36f:0x58cf93c0373688e4!8m2!3d6.892041!4d79.8660323!16s%2Fg%2F12lswf179!19sChIJb8MgHtFb4joR5Ig2N8CTz1g?authuser=0&hl=en&rclk=1,Chelinaa Capital Corporation (Pvt) Ltd.,5.0,(8),Investment service,,"5, 22 Sulaiman Terrace",·,Closed,· Opens 9 AM,,0112 555 954,,Directions,"""Mr Lolitha Abeysinghe’s guidance is unmatched""",,,,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,
https://www.google.com/maps/place/Consolidated+Business+Systems+Ltd/data=!4m7!3m6!1s0x3ae25abdafd973b1:0x6de1a3623da6b725!8m2!3d6.8339571!4d79.9048385!16s%2Fg%2F1hhjmwq1q!19sChIJsXPZr71a4joRJbemPWKj4W0?authuser=0&hl=en&rclk=1,Consolidated Business Systems Ltd,4.6,(16),Food and beverage exporter,,Metisuddhagara Road,Closed,· Opens 8 AM,·,,0115 553 922,,Website,"""Leaders in Coconut Exports, Quality products.""",,,http://cbsltd.lk/,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,
https://www.google.com/maps/place/Chelinaa+Capital+Corporation+%28Pvt%29+Ltd./data=!4m7!3m6!1s0x3ae25bd11e20c36f:0x58cf93c0373688e4!8m2!3d6.892041!4d79.8660323!16s%2Fg%2F12lswf179!19sChIJb8MgHtFb4joR5Ig2N8CTz1g?authuser=0&hl=en&rclk=1,Chelinaa Capital Corporation (Pvt) Ltd.,5.0,(8),Investment service,,"5, 22 Sulaiman Terrace",·,Closed,· Opens 9 AM,,0112 555 954,,Directions,"""Mr Lolitha Abeysinghe’s guidance is unmatched""",,,,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,
https://www.google.com/maps/place/Business+EYE+Management+Services+%28Pvt%29+Ltd/data=!4m7!3m6!1s0x3ae25a20c4e60085:0xa227c427c73ce35!8m2!3d6.8971037!4d79.9149761!16s%2Fg%2F11cs5k_qlj!19sChIJhQDmxCBa4joRNc5zfEJ8Igo?authuser=0&hl=en&rclk=1,Business EYE Management Services (Pvt) Ltd,5.0,(785),Business administration service,,·,Closed,· Opens 8 AM,"1277, 2 Rajamalwatta Rd",·,0112 889 845,,Website,"""I highly recommend them for reliable and expert audit services.""",,,https://www.ebusinesseye.com/,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,audit01@ebusinesseye.com; audit03@ebusinesseye.com; audit05@ebusinesseye.com; audit06@ebusinesseye.com; audit10@ebusinesseye.com; audit13@ebusinesseye.com; audit15@ebusinesseye.com; audit17@ebusinesseye.com; audit19@ebusinesseye.com; audit20@ebusinesseye.com; audit4@ebusinesseye.com; audit@ebusinesseye.com; be03@ebusinesseye.com; be08@ebusinesseye.com; be10@ebusinesseye.com; be11@ebusinesseye.com; be12@ebusinesseye.com; be15@ebusinesseye.com; be18@ebusinesseye.com; hr@ebusinesseye.com; info@ebusinesseye.com; it@ebusinesseye.com; tax01@ebusinesseye.com; tax02@ebusinesseye.com; tax03@ebusinesseye.com; tax04@ebusinesseye.com; tax05@ebusinesseye.com; tax06@ebusinesseye.com
https://www.google.com/maps/place/Ananda+Sirisena+%26+Company+%28Private%29+Limited/data=!4m7!3m6!1s0x3ae2599dcab48913:0xb6bc4349cee083ce!8m2!3d6.9135036!4d79.8771312!16s%2Fg%2F1tkks91_!19sChIJE4m0yp1Z4joRzoPgzklDvLY?authuser=0&hl=en&rclk=1,Ananda Sirisena & Company (Private) Limited,5.0,(14),Consultant,,"70/2/3B, YMBA Building 2nd Floor Rt. Hon, D. S. Senanayake Mawatha",Open 24 hours,,·,,077 323 1189,,Website,"""It was absolutely feasible to work with them.""",,,http://anandasirisena.lk/,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,contactus@anandasirisena.lk
https://www.google.com/maps/place/Stalione+Lanka/data=!4m7!3m6!1s0x3ae25be1112c6ae7:0xfd05e11945166c75!8m2!3d6.8843604!4d79.9018081!16s%2Fg%2F11p0b9gy45!19sChIJ52osEeFb4joRdWwWRRnhBf0?authuser=0&hl=en&rclk=1,Stalione Lanka,4.9,(150),Business management consultant,,463 3|1 Kotte Rd,Closed,· Opens 8:30 AM,·,,0112 714 954,,Website,"""Outstanding Service & Results – Highly Recommended!""",,,https://stalionelanka.com/,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,
https://www.google.com/maps/place/Bizadvisor/data=!4m7!3m6!1s0x3ae251f3a19a82d3:0x23bd20d277ede9c!8m2!3d6.8451102!4d79.9359792!16s%2Fg%2F11nmcxtyzy!19sChIJ04KaofNR4joRnN5-Jw3SOwI?authuser=0&hl=en&rclk=1,Bizadvisor,5.0,(148),Business management consultant,,"272B, 2/1 High Level Rd",Closed,· Opens 9 AM,·,,077 700 4448,,Website,"""Their service is exceptional, trustworthy, and reliable.""",,,https://www.bizadvisor.lk/,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,
https://www.google.com/maps/place/FIDA+Global+Private+Limited/data=!4m7!3m6!1s0x3ae25993b9313d8d:0xf13624cdae6b9114!8m2!3d6.8482656!4d79.8972186!16s%2Fg%2F1pp2x6jsl!19sChIJjT0xuZNZ4joRFJFrrs0kNvE?authuser=0&hl=en&rclk=1,FIDA Global Private Limited,4.6,(18),Software company,,"Raththanapitiya, 215 C Colombo - Horana Rd",Closed,· Opens 8:30 AM,·,,0117 108 020,,Website,"""Great",,company,https://www.fidaglobal.com/,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"to work with for your HRS solutions.""",,
https://www.google.com/maps/place/Chelinaa+Capital+Corporation+%28Pvt%29+Ltd./data=!4m7!3m6!1s0x3ae25bd11e20c36f:0x58cf93c0373688e4!8m2!3d6.892041!4d79.8660323!16s%2Fg%2F12lswf179!19sChIJb8MgHtFb4joR5Ig2N8CTz1g?authuser=0&hl=en&rclk=1,Chelinaa Capital Corporation (Pvt) Ltd.,5.0,(8),Investment service,,"5, 22 Sulaiman Terrace",·,Closed,· Opens 9 AM,,0112 555 954,,Directions,"""Mr Lolitha Abeysinghe’s guidance is unmatched""",,,,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,
https://www.google.com/maps/place/Shathaka/data=!4m7!3m6!1s0x3ae251de77c46fe3:0x48444e14584cc21c!8m2!3d6.8374969!4d79.9217105!16s%2Fg%2F11rcq33b_9!19sChIJ42_Ed95R4joRHMJMWBROREg?authuser=0&hl=en&rclk=1,Shathaka,5.0,(104),Consultant,,161-7-B Daham Mw,Closed,· Opens 8 AM,·,,0112 846 812,,Website,"""Highly recommended for reliable and efficient ISO services.""",,,http://www.shathaka.com/,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,info@shathaka.com
