place_id,business_name,rating,reviews,category,address,whatsapp_number,website,email,instagram,twitter
https://www.google.com/maps/place/Colombo+Export+and+Import+Agencies+%28Pvt%29+Ltd/data=!4m7!3m6!1s0x3ae2590fd5c7f9fd:0x8c38f37fe0118dd8!8m2!3d6.8927269!4d79.8536915!16s%2Fg%2F11ckvdlyw5!19sChIJ_fnH1Q9Z4joR2I0R4H_zOIw?authuser=0&hl=en&rclk=1,Colombo Export and Import Agencies (Pvt) Ltd,4.9,(8),Corporate office,"Ocean Tower, No.25, Level 13 C, Station Rd",0112 550 071,http://www.ceial.com/,,,
https://www.google.com/maps/place/Yashiba+Trading+Company+%28Pvt%29+Ltd+%2F+Yashiba+Machinery+%28Pvt%29+Ltd/data=!4m7!3m6!1s0x3ae25aa34f16d8bf:0x6c421318fff3633c!8m2!3d6.831775!4d79.9086442!16s%2Fg%2F11cn6f2927!19sChIJv9gWT6Na4joRPGPz_xgTQmw?authuser=0&hl=en&rclk=1,Yashiba Trading Company (Pvt) Ltd / Yashiba Machinery (Pvt) Ltd,5.0,(7),Import export company,101 Colombo - Horana Rd,077 735 0394,,,,
https://www.google.com/maps/place/WestOne+Holdings+Pvt+Ltd./data=!4m7!3m6!1s0x3ae25b953478f72d:0x387397145d22cd1d!8m2!3d6.8241148!4d79.8659827!16s%2Fg%2F11k022gpj3!19sChIJLfd4NJVb4joRHc0iXRSXczg?authuser=0&hl=en&rclk=1,WestOne Holdings Pvt Ltd.,5.0,(2),Import export company,25/6 Wedikanda Rd,076 683 0088,,,,
https://www.google.com/maps/place/Thivein+Automobile+%28Pvt%29+Ltd/data=!4m7!3m6!1s0x3ae25b6024c6cc37:0x189a9c2049d4b7c5!8m2!3d6.8605109!4d79.9041872!16s%2Fg%2F11g1hmlq0w!19sChIJN8zGJGBb4joRxbfUSSCcmhg?authuser=0&hl=en&rclk=1,Thivein Automobile (Pvt) Ltd,5.0,(1),Import export company,"No:23, 1st Lane, Wanatha Rd",077 413 2032,,,,
https://www.google.com/maps/place/Colombo+Asian+Trading+Company+%28Pvt%29+Ltd/data=!4m7!3m6!1s0x3ae25bebe47f0829:0xa36ae95297922e22!8m2!3d6.8664038!4d79.8757726!16s%2Fg%2F11h1ywx09c!19sChIJKQh_5Otb4joRIi6Sl1LpaqM?authuser=0&hl=en&rclk=1,Colombo Asian Trading Company (Pvt) Ltd,4.4,(10),Import export company,"No.249, 1/1 Hospital Rd",076 091 9120,,,,
https://www.google.com/maps/place/BRM+Lanka+Import+And+Export+%28Pvt%29+Ltd./data=!4m7!3m6!1s0x3ae25bf64f5c1133:0x742573c9e8938a99!8m2!3d6.854038!4d79.8929571!16s%2Fg%2F11j9dd1yqx!19sChIJMxFcT_Zb4joRmYqT6MlzJXQ?authuser=0&hl=en&rclk=1,BRM Lanka Import And Export (Pvt) Ltd.,4.9,(14),Hardware store,343 Colombo - Horana Rd,0113 634 000,,,,
https://www.google.com/maps/place/STARSONS+GLOBAL+IMPORTS/data=!4m7!3m6!1s0x3ae2ffca5deefd19:0xfe11f3f33a792952!8m2!3d6.9351489!4d79.8534284!16s%2Fg%2F11rkc5xlg0!19sChIJGf3uXcr_4joRUil5OvPzEf4?authuser=0&hl=en&rclk=1,STARSONS GLOBAL IMPORTS,4.6,(5),Import export company,5 4th Cross St,075 997 7777,http://www.thestarsons.com/,,,
https://www.google.com/maps/place/JW+Trading+Lanka+%28Pvt%29+Ltd/data=!4m7!3m6!1s0x3ae25b5bc6827949:0x45d637169412aa5d!8m2!3d6.8803857!4d79.8626695!16s%2Fg%2F11nygjx_3y!19sChIJSXmCxltb4joRXaoSlBY31kU?authuser=0&hl=en&rclk=1,JW Trading Lanka (Pvt) Ltd,4.3,(6),Import export company,"No 46, 1/1 Dharmarama Rd",076 725 1386,http://jwtrading.lk/,,,
https://www.google.com/maps/place/China+Sri+Lanka+Import+%26+Export/data=!4m7!3m6!1s0x3ae24559e5c3d9d3:0x8542587e86290b85!8m2!3d6.809873!4d79.9127146!16s%2Fg%2F11pxnpbd8z!19sChIJ09nD5VlF4joRhQsphn5YQoU?authuser=0&hl=en&rclk=1,China Sri Lanka Import & Export,4.8,(6),Import export company,"33 Cambridge Court, Gangarama Rd",077 727 9747,,,,
https://www.google.com/maps/place/ARUDRA+INTERNATIONAL+IMPORTS+%26+EXPORTS/data=!4m7!3m6!1s0x3ae25902970eed2b:0xec2d16a0e70d8b89!8m2!3d6.9401584!4d79.8649005!16s%2Fg%2F11dxnrsyqs!19sChIJK-0OlwJZ4joRiYsN56AWLew?authuser=0&hl=en&rclk=1,ARUDRA INTERNATIONAL IMPORTS & EXPORTS,5.0,(4),Import export company,169-9 Srimath Bandaranayake Mawatha,076 392 1446,https://www.arudrainternational.com/,info@arudrainternational.com,,https://x.com/arudraintl/
