place_id,name,address,raw_phone,wa_number,website,rating,user_ratings_total,place_types,price_level,scraped_at
ChIJYQfomz9a4joRc_LHJRMMpsw,Nugegoda Business Centre,"80 Nawala Rd, Nugegoda 10250, Sri Lanka",076 323 7677,94763237677,,4.6,104,"point_of_interest, establishment",,2025-09-28 03:41:21
ChIJWWrj79hb4joRGhiZ4r5Y3e0,eBirth Business Academy ( Nugegoda ),"705 C Wijerama Junction, Nugegoda, Sri Lanka",0114 492 444,,http://www.ebirth.net/,4.9,1221,"point_of_interest, establishment",,2025-09-28 03:41:21
ChIJ9yT7AgBb4joRmgtybC-nEK8,CDCI Business Suites,"8 St. Joshep's Road, Nugegoda 10250, Sri Lanka",070 475 3000,94704753000,http://www.cosmeticdentalcareinternational.com/,5,72,"lodging, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJ04KaofNR4joRnN5-Jw3SOwI,Bizadvisor,"272B, 2/1 High Level Rd, Maharagama 10280, Sri Lanka",077 700 4448,94777004448,https://www.bizadvisor.lk/,5,135,"accounting, finance, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJR5526GJR4joRWf_BbEV1oKo,Cerebrozone (Pvt) Ltd,"172 C Pannipitiya Rd, Ruhunupura 10116, Sri Lanka",070 333 6655,94703336655,https://cerebrozone.com/,5,1,"point_of_interest, establishment",,2025-09-28 03:41:21
ChIJCas-s5Ra4joRORjx9cXxQ10,Business Promoters & Partners Engineering (Pvt) Ltd,"261/3 Lake Rd, Boralesgamuwa, Sri Lanka",0112 517 848,,,4.1,46,"general_contractor, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJ5a7xdwJb4joRQrumWYbp-hQ,Business Academy,"No 50 C 1, 1 Perera Mawatha, Sri Jayawardenepura Kotte 10100, Sri Lanka",077 298 6433,94772986433,https://businessacademy.lk/,5,48,"point_of_interest, establishment",,2025-09-28 03:41:21
ChIJsXPZr71a4joRJbemPWKj4W0,Consolidated Business Systems Ltd,"Metisuddhagara Road, බොරලැස්ගමුව, Sri Lanka",0115 553 922,,http://cbsltd.lk/,4.6,16,"food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJMwQHcMlb4joRsA37wOpr5ro,Cognito Campus | CIBT - Cognito Institute of Business & Technology,"4th Floor 239, 2 High Level Rd, Nugegoda 00500, Sri Lanka",070 522 8001,94705228001,http://cibt.lk/,5,3,"point_of_interest, establishment",,2025-09-28 03:41:21
ChIJsdfWr3hQ4joRsit23OoV2VA,CDB Bank - Maharagama Branch,"# 249 Colombo - Batticaloa Hwy, Maharagama 10280, Sri Lanka",0112 845 945,,http://www.cdb.lk/,3.4,12,"bank, finance, point_of_interest, establishment",,2025-09-28 03:41:21
