place_id,business_name,address,phone_raw,whatsapp_number,email,website,rating,review_count,category,lead_quality,scraped_date
ChIJH9L-ba5b4joRlgfvqPj2A5c,"360 Accountants-Company and Business Registration, Colombo","Unit No, Vish towers, 4/1 Muhandiram Ln, Dehiwala-Mount Lavinia 10350, Sri Lanka",075 643 1602,7564316020,,https://360accountants.lk/,5.0,6,OTHER,HOT,2025-09-29 02:14:33
ChIJmTQVmAhZ4joRR6d3_MQvnjo,AVENTRA HEALTH CARE (AVENTRA MEDICAL CENTER),"365 Sri Vajiragnana Mawatha, Colombo 00900, Sri Lanka",076 776 2535,7677625350,,https://aventrahealthcare.wordpress.com/,4.3,27,HIGH_VALUE,HOT,2025-09-29 02:09:22
ChIJkWj1r3hb4joRQAMT6c_31gM,AY Associates -Chartered Accountants,"95 Havelock Rd, Colombo 00500, Sri Lanka",076 258 3490,7625834900,,,5.0,5,HIGH_VALUE,HOT,2025-09-29 02:08:48
ChIJfbh3XIxb4joRDfAdaGXRueQ,Align Dental Care (Pvt) Ltd | Dentist in Colombo | Dental clinic in Colombo,"Level 01, 34C Sri Saranankara Rd, Dehiwala-Mount Lavinia 10350, Sri Lanka",077 724 2476,7772424760,info@aligndentalcare.lk,https://www.aligndentalcare.lk/,4.8,373,HIGH_VALUE,HOT,2025-09-29 02:09:51
ChIJqx2ScXxZ4joRbrwpgmTN4Y8,Arcade Independence Square,"Independence Square, Colombo 00700, Sri Lanka",077 651 3925,7765139250,,https://www.facebook.com/arcadeindependance.srilanka,4.4,10705,LOCAL_BUSINESS,HOT,2025-09-29 02:13:15
ChIJWX9xH1Bb4joRYFXJknDUL_4,Arogya Speciality Medical Center,"39B Kinross Ave, Colombo 00400, Sri Lanka",077 414 3434,7741434340,,https://web.facebook.com/arogyaspecialitymedicalcenter,4.5,24,HIGH_VALUE,HOT,2025-09-29 02:09:25
ChIJeTPTRHVZ4joR8gez0_nvdPM,Azeez Medical Centre,"1055/3 Maradana Rd, Colombo 00800, Sri Lanka",077 722 5533,7772255330,,,5.0,3,HIGH_VALUE,HOT,2025-09-29 02:09:22
ChIJ26lU3cdb4joRgbYIvbuhBPU,Battery Jumpstart Services - D Auto Recovery - Colombo,"Wellawatte, Colombo 00600, Sri Lanka",075 394 7793,7539477930,,,5.0,5,LOCAL_BUSINESS,HOT,2025-09-29 02:14:57
ChIJkeWd001b4joR9MxLm40MVSs,Best Medicare - Nawala,"321 Nawala Rd, Sri Jayawardenepura Kotte 10100, Sri Lanka",072 222 5566,7222255660,,http://www.bestmedicarenawala.com/,4.0,38,LOCAL_BUSINESS,HOT,2025-09-29 02:09:19
ChIJ-8yOekRZ4joRj-l_I6ddYkg,Binary Technologies International,"No.92, First floor Capital Trust Tower 3, Glennie St, Colombo 00200, Sri Lanka",076 870 8701,7687087010,,http://binarytechnologies.io/,5.0,9,HIGH_VALUE,HOT,2025-09-29 02:10:50
ChIJWe7MIEZZ4joREQD74eW1rlk,Breakdown Service,"113 A, 007 Kynsey Rd, Colombo 00500, Sri Lanka",077 713 9441,7771394410,info@breakdownservice.lk,https://www.breakdownservice.lk/,4.8,101,LOCAL_BUSINESS,HOT,2025-09-29 02:13:41
