place_id,business_name,rating,reviews,category,W4Efsd (2),address,W4Efsd (4),W4Efsd (5),W4Efsd (6),whatsapp_number,website,Cw1rxd,R8c4Qb,Cw1rxd (2),R8c4Qb (2),Jn12ke src,comments,ah5Ghc (2),ah5Ghc (3),doJOZc,W4Efsd (7),e4rVHe
https://www.google.com/maps/place/Makka+Constructions/data=!4m7!3m6!1s0x6b12bb5f7f3ee517:0xe11a381d460091fe!8m2!3d-33.8647242!4d151.0601589!16s%2Fg%2F11c3k9ks6d!19sChIJF-U-f1-7EmsR_pEARh04GuE?authuser=0&hl=en&rclk=1,Makka Constructions,5.0,(13),Construction company,·,161 Arthur St,Closes soon,· 6 PM · Opens 7 AM Wed,·,+61 404 610 404,https://makkaconstructions.com.au/,,Website,,Directions,,,,,,,
https://www.google.com/maps/place/Ryan+Jones+Building+Co+Pty+Ltd/data=!4m7!3m6!1s0x6b12b3792f601e05:0x3d779d9786cafc15!8m2!3d-33.8482439!4d150.9319747!16s%2Fg%2F11g0m35w_r!19sChIJBR5gL3mzEmsRFfzKhpeddz0?authuser=0&hl=en&rclk=1,Ryan Jones Building Co Pty Ltd,5.0,(11),Construction company,·,,Closed,· Opens 8 AM Wed,,+61 499 909 542,http://www.ryanjonesbuildingco.com.au/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Job ran smoothly with good planning and communication.""",,,,,
https://www.google.com/maps/place/LP+Construction+Group/data=!4m7!3m6!1s0x6b12986c2ad782e5:0xc0836f118d5b236!8m2!3d-33.8168392!4d151.0052605!16s%2Fg%2F11g0hmr2pk!19sChIJ5YLXKmyYEmsRNrLVGPE2CAw?authuser=0&hl=en&rclk=1,LP Construction Group,4.6,(21),Construction company,·,Level 14/3 Parramatta Sq,Closes soon,· 6 PM · Opens 7:30 AM Wed,·,+61 433 634 727,http://www.lpconstructions.com/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Make sure to contact him regarding your development project""",,,,,
https://www.google.com/maps/place/Welch+Construction+Group/data=!4m7!3m6!1s0x6b12a1ea9e407159:0x2cee64703043c54c!8m2!3d-33.7086073!4d150.9501139!16s%2Fg%2F11s77_1nm2!19sChIJWXFAnuqhEmsRTMVDMHBk7iw?authuser=0&hl=en&rclk=1,Welch Construction Group,5.0,(70),Home builder,·,12 Ellerstone Ct,Open,· Closes 7 PM,·,+61 451 121 612,https://welchconstructiongroup.com.au/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Came in, sorted the project, cleaned up every day and the work was great.""",,,,,
https://www.google.com/maps/place/New+South+Construction+Group/data=!4m7!3m6!1s0x300d3e18b055905:0x976d29e86f2e967c!8m2!3d-33.8221508!4d151.0100578!16s%2Fg%2F11vm28_6jb!19sChIJBVkFi-HTAAMRfJYub-gpbZc?authuser=0&hl=en&rclk=1,New South Construction Group,5.0,(30),Construction company,·,6 Albion St,Open,· Closes 7 PM,·,+61 489 277 770,http://newsouthcg.com.au/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""He came out quoted the job and had it finished the next day.""",,,,,
https://www.google.com/maps/place/Waterfront+Constructions/data=!4m7!3m6!1s0x6b12c71a3988b3cf:0xbed183fec1075d60!8m2!3d-34.0236413!4d151.0800664!16s%2Fg%2F11mw7n8m8b!19sChIJz7OIORrHEmsRYF0Hwf6D0b4?authuser=0&hl=en&rclk=1,Waterfront Constructions,5.0,(28),Construction company,·,Unit 5/9-11 Ethell Rd,Closes soon,· 6 PM · Opens 7 AM Wed,·,+61 2 9526 2570,https://waterfront-constructions.com.au/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Very easy to deal with, highly professional and great quality.""",,,,,
https://www.google.com/maps/place/Monarch+Construction+Group+Australia/data=!4m7!3m6!1s0x87ca6a0a6132a5e5:0xfc0688f0110d1256!8m2!3d-34.1737278!4d150.6535302!16s%2Fg%2F11rtq6nzrj!19sChIJ5aUyYQpqyocRVhINEfCIBvw?authuser=0&hl=en&rclk=1,Monarch Construction Group Australia,5.0,(15),Construction company,·,,Closed,· Opens 9 AM Wed,,+61 1300 706 492,https://monarchconstructions.com.au/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""The finished deck looks amazing and has completely transformed my backyard.""",,,,,
https://www.google.com/maps/place/Northpoint+Construction+Group/data=!4m7!3m6!1s0x6b12a314ebb1c919:0x59f6a4ea223447da!8m2!3d-33.8169433!4d151.0217587!16s%2Fg%2F1tfmccxy!19sChIJGcmx6xSjEmsR2kc0Iuqk9lk?authuser=0&hl=en&rclk=1,Northpoint Construction Group,4.8,(37),Construction company,·,7/142 James Ruse Dr,Closed,· Opens 8:30 AM Wed,·,+61 2 9687 8889,http://www.npoint.com.au/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""I would choose Northpoint",Construction,"all over again if I had to.""",,,
https://www.google.com/maps/place/Binah/data=!4m7!3m6!1s0x6b1295b86fdd1081:0xea3ac8eacff80658!8m2!3d-33.9183445!4d150.9210531!16s%2Fg%2F11cp7cxv43!19sChIJgRDdb7iVEmsRWAb4z-rIOuo?authuser=0&hl=en&rclk=1,Binah,4.5,(31),Construction company,·,·,Closed,· Opens 8:30 AM Wed,"Suit 7, Level 3/26 Castlereagh St",+61 2 9426 6900,http://www.binah.com.au/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Great workmanship and customer service""",,,,·,
https://www.google.com/maps/place/Sydney+Building+and+Construction+Group/data=!4m7!3m6!1s0x6b12bd2dbb58b8f1:0xc001bb04131b8e43!8m2!3d-33.8764135!4d151.2047258!16s%2Fg%2F11b77sp_b7!19sChIJ8bhYuy29EmsRQ44bEwS7AcA?authuser=0&hl=en&rclk=1,Sydney Building and Construction Group,4.9,(16),Home builder,·,526/368 Sussex St,Closes soon,· 6 PM · Opens 6 AM Wed,·,+61 2 9635 8626,https://www.sydneybuildingandconstructiongroup.com.au/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Dany was always very quick to respond to my calls / text messages.""",,,,,
