place_id,business_name,rating,reviews,category,address,whatsapp_number,website,email,instagram,twitter
https://www.google.com/maps/place/Australian+Climate+Systems/data=!4m7!3m6!1s0x6ad62e5d0ff1fa2f:0x334b310b429cddf8!8m2!3d-37.7704152!4d145.3026842!16s%2Fg%2F1vd71g9w!19sChIJL_rxD10u1moR-N2cQgsxSzM?authuser=0&hl=en&rclk=1,Australian Climate Systems,4.8,(237),Air conditioning store,·,+61 3 9726 4444,https://www.austclimate.com.au/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_content=website,accounts@austclimate.com.au; admin@austclimate.com.au; alex@austclimate.com.au; daniel@austclimate.com.au,,
https://www.google.com/maps/place/Australian+Air+Conditioning+%26+Electrical/data=!4m7!3m6!1s0x6ad63d03b10d19f1:0xde551e617ddac099!8m2!3d-37.9300588!4d145.14305!16s%2Fg%2F11q4647m8d!19sChIJ8RkNsQM91moRmcDafWEeVd4?authuser=0&hl=en&rclk=1,Australian Air Conditioning & Electrical,4.8,(88),Air conditioning contractor,unit F12/2A Westall Rd,+61 1300 022 117,http://www.aacae.com.au/,,https://www.instagram.com/ausacelec/,
https://www.google.com/maps/place/HVAC+Australia+Pty+Ltd/data=!4m7!3m6!1s0x6b914c81562f4171:0xc89e530983845d89!8m2!3d-27.5985109!4d152.8687263!16s%2Fg%2F1tfj3b6f!19sChIJcUEvVoFMkWsRiV2EgwlTnsg?authuser=0&hl=en&rclk=1,HVAC Australia Pty Ltd,3.8,(11),Mechanical contractor,·,+61 7 3280 8400,http://www.hvac.com.au/,info@hvac.com.au,https://www.instagram.com/hvac.australia/,
https://www.google.com/maps/place/Australian+HVAC+Services/data=!4m7!3m6!1s0x2a32b955623614b9:0xc1b44ee1693cb8f6!8m2!3d-31.9767595!4d115.9475257!16s%2Fg%2F1pv2tqv_k!19sChIJuRQ2YlW5MioR9rg8aeFOtME?authuser=0&hl=en&rclk=1,Australian HVAC Services,5.0,(5),Air conditioning contractor,89 Leach Hwy,+61 8 6436 5200,https://hvacservices.com.au/,reception@hvacservices.com.au,https://www.instagram.com/australianhvac/,
https://www.google.com/maps/place/The+Australian+Air+Conditioning+Company/data=!4m7!3m6!1s0x6ad65b8d59712ed7:0x5a5df194cb8e7dfd!8m2!3d-37.7270637!4d144.9526192!16s%2Fg%2F11k2ty302n!19sChIJ1y5xWY1b1moR_X2Oy5TxXVo?authuser=0&hl=en&rclk=1,The Australian Air Conditioning Company,5.0,(112),Air conditioning contractor,,+61 447 853 373,http://aaccgroup.com.au/,,,https://x.com/wix/
https://www.google.com/maps/place/Alliance+Climate+Control/data=!4m7!3m6!1s0x6b12b1b3ce3aabd9:0x242ddd9f5ac90565!8m2!3d-33.913639!4d151.186584!16s%2Fg%2F11b5qw1s8p!19sChIJ2as6zrOxEmsRZQXJWp_dLSQ?authuser=0&hl=en&rclk=1,Alliance Climate Control,4.9,"(2,440)",Air conditioning contractor,Unit 3/176 Euston Rd,+61 2 8046 9984,https://www.alliancecc.com.au/?utm_source=google&utm_medium=organic&utm_campaign=GMB-Alexandria,,https://www.instagram.com/callalliance/,
https://www.google.com/maps/place/Air+Conditioning+Guys+Sydney/data=!4m7!3m6!1s0x6b12ba6116b2dee7:0xa82c31826030b266!8m2!3d-33.9297172!4d151.08885!16s%2Fg%2F1tf160l_!19sChIJ596yFmG6EmsRZrIwYIIxLKg?authuser=0&hl=en&rclk=1,Air Conditioning Guys Sydney,4.8,(518),Air conditioning contractor,71 Chapel St,+61 2 8021 3735,https://www.airconditioningguys.com.au/,,https://www.instagram.com/acg_airconditioningguys/,
https://www.google.com/maps/place/Australian+Airconditioning+Services/data=!4m7!3m6!1s0x2a32b1aa6db84639:0xf2be44d33e171113!8m2!3d-31.8627771!4d115.8892166!16s%2Fg%2F1td_7sh5!19sChIJOUa4baqxMioRExEXPtNEvvI?authuser=0&hl=en&rclk=1,Australian Airconditioning Services,4.3,(6),HVAC contractor,Unit 8/200 Camboon Rd,+61 8 9209 2520,http://www.aust-aircon.com.au/,aas@aust-aircon.com.au,,
https://www.google.com/maps/place/Air+Conditioning+Headquarters/data=!4m7!3m6!1s0x2bcd535c1c2c0b31:0x29d37250e6c51364!8m2!3d-31.747531!4d115.7639016!16s%2Fg%2F1td_824g!19sChIJMQssHFxTzSsRZBPF5lBy0yk?authuser=0&hl=en&rclk=1,Air Conditioning Headquarters,4.8,(100),Air conditioning contractor,5/200 Winton Rd,+61 8 9301 4500,http://www.airhq.com.au/,,https://www.instagram.com/airconditioningheadquarters/,
https://www.google.com/maps/place/Air+Conditioning+Warehouse+Australia/data=!4m7!3m6!1s0x6b12990274d27893:0xa01b90a40f08720c!8m2!3d-33.7643425!4d150.9070309!16s%2Fg%2F1tlmngt9!19sChIJk3jSdAKZEmsRDHIID6SQG6A?authuser=0&hl=en&rclk=1,Air Conditioning Warehouse Australia,4.6,(52),Air conditioning contractor,Unit 11/47 Third Ave,+61 2 8197 2929,http://www.airconditioning-warehouse.com.au/,,,
